"","x","vol","protein","absorbance"
"1",1,0,"a254",0.0998437825962901
"2",1,0,"a280",0.177654184028506
"3",2,0.024024024024024,"a254",0.204338669516146
"4",2,0.024024024024024,"a280",0.178654812462628
"5",3,0.048048048048048,"a254",0.0724272697791457
"6",3,0.048048048048048,"a280",-0.00912389270961286
"7",4,0.0720720720720721,"a254",-0.0405529932212084
"8",4,0.0720720720720721,"a280",-0.0381979712285102
"9",5,0.0960960960960961,"a254",-0.0222979801520705
"10",5,0.0960960960960961,"a280",-0.201861170958728
"11",6,0.12012012012012,"a254",-0.109479433074594
"12",6,0.12012012012012,"a280",0.0993563715368509
"13",7,0.144144144144144,"a254",0.0661903182044625
"14",7,0.144144144144144,"a280",-0.0938478246331214
"15",8,0.168168168168168,"a254",-0.0322317975759506
"16",8,0.168168168168168,"a280",0.064716725796461
"17",9,0.192192192192192,"a254",-0.0558253061026335
"18",9,0.192192192192192,"a280",-0.35986141199246
"19",10,0.216216216216216,"a254",0.0668712556082755
"20",10,0.216216216216216,"a280",-0.154042478743941
"21",11,0.24024024024024,"a254",0.140501398891211
"22",11,0.24024024024024,"a280",-0.328007909096777
"23",12,0.264264264264264,"a254",-0.123373936833814
"24",12,0.264264264264264,"a280",-0.104734755866229
"25",13,0.288288288288288,"a254",0.188648982858285
"26",13,0.288288288288288,"a280",0.144509144779295
"27",14,0.312312312312312,"a254",0.0196847636252642
"28",14,0.312312312312312,"a280",0.0449738394469023
"29",15,0.336336336336336,"a254",0.0542365146521479
"30",15,0.336336336336336,"a280",0.118501416314393
"31",16,0.36036036036036,"a254",0.0305149041395634
"32",16,0.36036036036036,"a280",0.18952305521816
"33",17,0.384384384384384,"a254",-0.0247001026850194
"34",17,0.384384384384384,"a280",-0.316757946182042
"35",18,0.408408408408408,"a254",0.121837514787912
"36",18,0.408408408408408,"a280",0.20986747937277
"37",19,0.432432432432432,"a254",-0.129176102345809
"38",19,0.432432432432432,"a280",0.00629563992843032
"39",20,0.456456456456456,"a254",0.0757071156799793
"40",20,0.456456456456456,"a280",-0.0700629872269928
"41",21,0.48048048048048,"a254",-0.113460775185376
"42",21,0.48048048048048,"a280",0.149718639161438
"43",22,0.504504504504504,"a254",-0.0599664778169244
"44",22,0.504504504504504,"a280",-0.0264568605460226
"45",23,0.528528528528528,"a254",-0.113794114496559
"46",23,0.528528528528528,"a280",-0.0202725828625262
"47",24,0.552552552552553,"a254",0.0124671299289912
"48",24,0.552552552552553,"a280",-0.0156974979676306
"49",25,0.576576576576577,"a254",-0.145831490019336
"50",25,0.576576576576577,"a280",-0.0359905972145498
"51",26,0.600600600600601,"a254",0.0971830074954778
"52",26,0.600600600600601,"a280",-0.0306584371253848
"53",27,0.624624624624625,"a254",0.134691093796864
"54",27,0.624624624624625,"a280",-0.120526635181159
"55",28,0.648648648648649,"a254",-0.171630121218041
"56",28,0.648648648648649,"a280",0.315447422675788
"57",29,0.672672672672673,"a254",0.0541230523400009
"58",29,0.672672672672673,"a280",0.0434024137444794
"59",30,0.696696696696697,"a254",0.190118745910004
"60",30,0.696696696696697,"a280",0.267319404799491
"61",31,0.720720720720721,"a254",0.122678200127557
"62",31,0.720720720720721,"a280",-0.210463387612253
"63",32,0.744744744744745,"a254",0.202817822303623
"64",32,0.744744744744745,"a280",-0.250194682739675
"65",33,0.768768768768769,"a254",0.082898757988587
"66",33,0.768768768768769,"a280",0.0641156954690814
"67",34,0.792792792792793,"a254",-0.136403873646632
"68",34,0.792792792792793,"a280",0.182304672431201
"69",35,0.816816816816817,"a254",-0.0287797425314784
"70",35,0.816816816816817,"a280",0.0411095311865211
"71",36,0.840840840840841,"a254",-0.168178985733539
"72",36,0.840840840840841,"a280",-0.132566616684198
"73",37,0.864864864864865,"a254",0.100681194346398
"74",37,0.864864864864865,"a280",0.0763808229006827
"75",38,0.888888888888889,"a254",0.0707866988424212
"76",38,0.888888888888889,"a280",-0.0360749680548906
"77",39,0.912912912912913,"a254",0.0223499908577651
"78",39,0.912912912912913,"a280",0.353214728552848
"79",40,0.936936936936937,"a254",0.156045657843351
"80",40,0.936936936936937,"a280",-0.0154791723005474
"81",41,0.960960960960961,"a254",1.66393816470808e-06
"82",41,0.960960960960961,"a280",0.0882660761475563
"83",42,0.984984984984985,"a254",0.0338713150564581
"84",42,0.984984984984985,"a280",0.00902700386941432
"85",43,1.00900900900901,"a254",-0.102469343561679
"86",43,1.00900900900901,"a280",0.120372877456248
"87",44,1.03303303303303,"a254",-0.161892920816317
"88",44,1.03303303303303,"a280",-0.226137950923294
"89",45,1.05705705705706,"a254",0.13095803626813
"90",45,1.05705705705706,"a280",-0.0943205489777028
"91",46,1.08108108108108,"a254",-0.187468985151499
"92",46,1.08108108108108,"a280",-0.0386187877506018
"93",47,1.10510510510511,"a254",0.108176236534491
"94",47,1.10510510510511,"a280",-0.139743148628622
"95",48,1.12912912912913,"a254",0.0268868489004671
"96",48,1.12912912912913,"a280",0.00489618191495539
"97",49,1.15315315315315,"a254",0.0378661392256617
"98",49,1.15315315315315,"a280",-0.0454611794091761
"99",50,1.17717717717718,"a254",-0.061454864507541
"100",50,1.17717717717718,"a280",0.00579392230138179
"101",51,1.2012012012012,"a254",-0.181279943706468
"102",51,1.2012012012012,"a280",0.0158607971854508
"103",52,1.22522522522523,"a254",0.0541836136300117
"104",52,1.22522522522523,"a280",0.154323016107082
"105",53,1.24924924924925,"a254",0.00674989031627773
"106",53,1.24924924924925,"a280",0.0195826887153089
"107",54,1.27327327327327,"a254",-0.137471230402589
